ExpressionStatement-3-0-0;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName"
ExpressionStatement-5-1-0;" INS ExpressionStatement TO TryStatement 
--- INS MethodInvocation TO ExpressionStatement 
------ INS SimpleName TO MethodInvocation 
------ INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO SimpleName"
ExpressionStatement-4-2-2;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName 
--------- UPD SimpleName"
FieldDeclaration-2-0-0;" UPD FieldDeclaration 
--- INS Modifier TO FieldDeclaration"
ExpressionStatement-4-2-1;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ UPD SimpleName 
--------- INS SimpleName TO SimpleName"
FieldDeclaration-6-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment"
FieldDeclaration-8-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS StringLiteral TO VariableDeclarationFragment"
ExpressionStatement-2-0-0;" DEL ExpressionStatement 
--- DEL MethodInvocation"
FieldDeclaration-5-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment"
ExpressionStatement-2-0-1;" INS ExpressionStatement TO MethodDeclaration 
--- INS MethodInvocation TO ExpressionStatement"
ExpressionStatement-4-2-0;" INS ExpressionStatement TO SwitchStatement 
--- INS MethodInvocation TO ExpressionStatement 
------ INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO SimpleName"
VariableDeclarationStatement-2-2-0;" UPD VariableDeclarationStatement 
--- INS Modifier TO VariableDeclarationStatement"
MethodDeclaration-2-0-0;" UPD MethodDeclaration 
--- INS Modifier TO MethodDeclaration"
VariableDeclarationStatement-7-0-0;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS MethodInvocation TO VariableDeclarationFragment 
--------- INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO MethodInvocation"
VariableDeclarationStatement-4-1-0;" DEL VariableDeclarationStatement 
--- DEL SimpleType 
--- DEL VariableDeclarationFragment 
------ DEL SimpleName"
ExpressionStatement-5-1-2;" DEL ExpressionStatement 
--- DEL MethodInvocation 
------ DEL SimpleName 
------ DEL SimpleName 
--------- DEL SimpleName"
ReturnStatement-3-2-0;" UPD ReturnStatement 
--- UPD MethodInvocation 
------ UPD SimpleName"
IfStatement-6-1-0;" DEL IfStatement 
--- DEL InfixExpression 
------ DEL SimpleName 
------ DEL Operator 
------ DEL NullLiteral 
--- DEL ExpressionStatement"
ExpressionStatement-2-0-3;" INS ExpressionStatement TO Block 
--- MOV MethodInvocation TO ExpressionStatement"
SwitchCase-2-0-0;" INS SwitchCase TO SwitchStatement 
--- INS SimpleName TO SwitchCase"
MethodDeclaration-2-0-1;" UPD MethodDeclaration 
--- DEL Modifier"
ReturnStatement-2-1-0;" DEL ReturnStatement 
--- DEL SimpleName"
FieldDeclaration-3-0-0;" UPD FieldDeclaration 
--- UPD VariableDeclarationFragment 
------ UPD StringLiteral"
TypeDeclaration-5-0-0;" INS TypeDeclaration TO TypeDeclaration 
--- INS Modifier TO TypeDeclaration 
--- INS Modifier TO TypeDeclaration 
--- INS SimpleName TO TypeDeclaration 
--- INS SimpleType TO TypeDeclaration"
ReturnStatement-2-1-2;" INS ReturnStatement TO MethodDeclaration 
--- INS SimpleName TO ReturnStatement"
MethodDeclaration-6-1-0;" INS MethodDeclaration TO TypeDeclaration 
--- INS Modifier TO MethodDeclaration 
--- INS SimpleType TO MethodDeclaration 
--- INS SimpleName TO MethodDeclaration 
--- INS ReturnStatement TO MethodDeclaration 
------ INS SimpleName TO ReturnStatement"
FieldDeclaration-5-0-1;" DEL FieldDeclaration 
--- DEL Modifier 
--- DEL SimpleType 
--- DEL VariableDeclarationFragment 
------ DEL SimpleName"
FieldDeclaration-2-0-1;" UPD FieldDeclaration 
--- DEL Modifier"
VariableDeclarationStatement-5-3-0;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS MethodInvocation TO VariableDeclarationFragment"
ReturnStatement-2-1-1;" UPD ReturnStatement 
--- UPD SimpleName"
MethodDeclaration-14-1-0;" INS MethodDeclaration TO TypeDeclaration 
--- INS Modifier TO MethodDeclaration 
--- INS PrimitiveType TO MethodDeclaration 
--- INS SimpleName TO MethodDeclaration 
--- INS SingleVariableDeclaration TO MethodDeclaration 
------ INS SimpleType TO SingleVariableDeclaration 
------ INS SimpleName TO SingleVariableDeclaration 
--- INS ExpressionStatement TO MethodDeclaration 
------ INS Assignment TO ExpressionStatement 
--------- INS FieldAccess TO Assignment 
------------ INS ThisExpression TO FieldAccess 
------------ INS SimpleName TO FieldAccess 
--------- INS Operator TO Assignment 
--------- INS SimpleName TO Assignment"
CatchClause-3-0-0;" UPD CatchClause 
--- UPD SingleVariableDeclaration 
------ UPD SimpleType"
VariableDeclarationStatement-5-3-2;" DEL VariableDeclarationStatement 
--- DEL SimpleType 
--- DEL VariableDeclarationFragment 
------ DEL SimpleName 
------ DEL MethodInvocation"
ExpressionStatement-2-0-2;" INS ExpressionStatement TO MethodDeclaration 
--- MOV MethodInvocation TO ExpressionStatement"
MethodDeclaration-4-0-0;" UPD MethodDeclaration 
--- INS SingleVariableDeclaration TO MethodDeclaration 
------ INS SimpleType TO SingleVariableDeclaration 
------ INS SimpleName TO SingleVariableDeclaration"
IfStatement-7-0-0;" INS IfStatement TO MethodDeclaration 
--- INS InfixExpression TO IfStatement 
------ INS SimpleName TO InfixExpression 
------ INS Operator TO InfixExpression 
------ INS NullLiteral TO InfixExpression 
--- INS ReturnStatement TO IfStatement 
------ INS NullLiteral TO ReturnStatement"
FieldDeclaration-11-0-0;" INS FieldDeclaration TO TypeDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS Modifier TO FieldDeclaration 
--- INS SimpleType TO FieldDeclaration 
--- INS VariableDeclarationFragment TO FieldDeclaration 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS MethodInvocation TO VariableDeclarationFragment 
--------- INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO MethodInvocation 
------------ INS TypeLiteral TO SimpleName"
ExpressionStatement-7-1-0;" INS ExpressionStatement TO IfStatement 
--- INS Assignment TO ExpressionStatement 
------ INS SimpleName TO Assignment 
------ INS Operator TO Assignment 
------ INS MethodInvocation TO Assignment 
--------- INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO MethodInvocation"
IfStatement-3-1-0;" UPD IfStatement 
--- UPD InfixExpression 
------ UPD Operator"
VariableDeclarationStatement-7-0-1;" INS VariableDeclarationStatement TO IfStatement 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS MethodInvocation TO VariableDeclarationFragment 
--------- INS SimpleName TO MethodInvocation 
--------- INS SimpleName TO MethodInvocation"
ReturnStatement-2-1-4;" UPD ReturnStatement 
--- INS SimpleName TO ReturnStatement"
IfStatement-5-1-0;" DEL IfStatement 
--- DEL InfixExpression 
------ DEL SimpleName 
------ DEL Operator 
------ DEL NullLiteral"
VariableDeclarationStatement-7-0-3;" DEL VariableDeclarationStatement 
--- DEL SimpleType 
--- DEL VariableDeclarationFragment 
------ DEL SimpleName 
------ DEL MethodInvocation 
--------- DEL SimpleName 
--------- DEL SimpleName"
ThrowStatement-4-0-0;" UPD ThrowStatement 
--- UPD ClassInstanceCreation 
------ UPD InfixExpression 
--------- UPD StringLiteral"
MethodDeclaration-2-0-2;" UPD MethodDeclaration 
--- UPD Modifier"
VariableDeclarationStatement-3-2-0;" DEL VariableDeclarationStatement 
--- DEL VariableDeclarationFragment 
------ DEL MethodInvocation"
VariableDeclarationStatement-4-1-1;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment"
ExpressionStatement-5-1-1;" UPD ExpressionStatement 
--- UPD MethodInvocation 
------ DEL SimpleName 
------ UPD SimpleName 
--------- INS SimpleName TO SimpleName"
VariableDeclarationStatement-5-3-1;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS SimpleType TO VariableDeclarationStatement 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ MOV MethodInvocation TO VariableDeclarationFragment"
VariableDeclarationStatement-11-0-0;" INS VariableDeclarationStatement TO MethodDeclaration 
--- INS ParameterizedType TO VariableDeclarationStatement 
------ INS SimpleType TO ParameterizedType 
------ INS SimpleType TO ParameterizedType 
--- INS VariableDeclarationFragment TO VariableDeclarationStatement 
------ INS SimpleName TO VariableDeclarationFragment 
------ INS ClassInstanceCreation TO VariableDeclarationFragment 
--------- INS New TO ClassInstanceCreation 
--------- INS ParameterizedType TO ClassInstanceCreation 
------------ INS SimpleType TO ParameterizedType 
------------ INS SimpleType TO ParameterizedType"
